Customer ID,Date,Customer Type,Product Rev,Shipping Rev,Total Rev,Items,Product Disc.,Saving Type,Product Cost,Shipping Cost,CAC
11,1/1/2022,New,$96.08,$9.99,$106.07,2,20.00%,Coupon,$24.02,$9.99,$82.00
38,1/1/2022,New,$169.61,$0.00,$169.61,2,20.00%,Coupon,$42.40,$9.99,$82.00
44,1/1/2022,New,$57.84,$9.99,$67.83,1,15.00%,Coupon,$13.61,$9.99,$82.00
56,1/1/2022,New,$87.25,$9.99,$97.24,1,0.00%,None,$17.45,$9.99,$82.00
72,1/1/2022,New,$82.35,$9.99,$92.34,2,15.00%,Coupon,$19.38,$9.99,$82.00
86,1/1/2022,New,$179.41,$0.00,$179.41,2,20.00%,Coupon,$44.85,$9.99,$82.00
93,1/1/2022,New,$147.06,$0.00,$147.06,1,0.00%,None,$29.41,$9.99,$82.00
111,1/1/2022,New,$112.75,$0.00,$112.75,1,0.00%,None,$22.55,$9.99,$82.00
138,1/1/2022,New,$53.92,$9.99,$63.91,1,15.00%,Coupon,$12.69,$9.99,$82.00
144,1/1/2022,New,$67.65,$9.99,$77.64,1,15.00%,Coupon,$15.92,$9.99,$82.00
163,1/1/2022,New,$55.88,$9.99,$65.87,1,20.00%,Coupon,$13.97,$9.99,$82.00
180,1/1/2022,New,$148.04,$0.00,$148.04,3,0.00%,None,$29.61,$9.99,$82.00
184,1/1/2022,New,$99.02,$9.99,$109.01,2,15.00%,Coupon,$23.30,$9.99,$82.00
185,1/1/2022,New,$99.02,$9.99,$109.01,2,0.00%,None,$19.80,$9.99,$82.00
209,1/1/2022,New,$182.35,$0.00,$182.35,2,0.00%,None,$36.47,$9.99,$82.00
220,1/1/2022,New,$142.16,$0.00,$142.16,2,0.00%,None,$28.43,$9.99,$82.00
228,1/1/2022,New,$60.78,$9.99,$70.77,3,20.00%,Coupon,$15.20,$9.99,$82.00
261,1/1/2022,New,$147.06,$0.00,$147.06,3,20.00%,Coupon,$36.77,$9.99,$82.00
269,1/1/2022,New,$142.16,$0.00,$142.16,3,15.00%,Coupon,$33.45,$9.99,$82.00
279,1/1/2022,New,$134.31,$0.00,$134.31,1,0.00%,None,$26.86,$9.99,$82.00
